Name,Meaning
Babáfẹ́mi,Father loves me.
Babáfèyídámilọ́lá,God (or Father) blessed me with this.
Babágbèmí,"HOMOGRAPH

1. Father(hood) benefits me.
2. Father(hood) carried me."
Babaìta,Father outside/ Socially influential father.
Babajamu,
Babájídé,Father/Grandfather came early.
Babaladé,Father is like a crown.
Babalájé,Business father.
Babálétí,Father has hearing.
Babalọlá,Father/Fatherhood is wealth/nobility/success.
Bàbámọlé,Father knows the house/home. Father found his way home.
Babánífẹ̀sí,Father loves (me).
Babáníyì,Father possesses honour. Fatherhood is honourable.
Babańlá,The great father.
Bàbáoyè,The head chief.
Babarere,Good father.
Babárímisá,Father saw me and ran away.
Babárìndé,Father walked in. Father walked our way. Father came in on foot.
Babárínsá,Father saw me and ran.
Babásọlá,The father makes wealth.
Babátọ́lá,Being a father is glorious. Being the head of a family is honourable. The head of the family is as valuable as riches.
Babátọ̀míwá,The father has come to me.
Babátọ́pẹ́,Father is worth being thankful for.
Babátúnbọ́lá,Father gave birth to wealth again.
Babátúndé,Father has returned.
Babátúnjí,Father arose again.
Babáwálé,Father returned home.
Babáyanjú,Father solved the issue.
Babáyè,Father survives.
Babáyẹjú,"Father excused himself (left). 
This name is given to a child born shortly after the demise of a family patriarch. Compare: Babátúndé, Babárínsá."
Babáyẹmí,Fatherhood befits me. Father is worthy of me.
Badà,
Bàdàmọ́sí,
Bádárà,The king did/does wonders.
Bádéjí,Wakes up with royalty.
Bádéjọ,Be at one with the crown.
Bádéjókò,Sit with the crown.
Bádérìn,Walks hand-in-hand with royalty.
Bádérìnwá,One who walks in with royalty.
Bádéró,Stand with the crown.
Bádéwá,(One who) came with the royalty.
Bádéwò,Give birth to royalty to see how it will be/look.
Báfágúnwà,Reign with Ifá.
Baiyékùsí,What is left of the world.
Bájélà,(One who) survive(s) with enterprise.
Bájépàdé,Meet with business success.
Bàjò,Return from a journey.
Bájọmọ,"1. The king resembles the son. The father resembles the son. 
2. The king is bigger than the son. The father is bigger than the son."
Bákàrè,Abubakar
Bákindé,Arrived with heroism.
Balógun,Father in war. The general.
Bàlóyè,See: Akínbàlóyè.
Bámbọ̀,Return with me.
Bamgbáde,Help me bring the crown.
Bámgbáiyé,Live in this world with me.
Bámgbálà,Help me carry the white cloth of purity.
Bámgbáyé,Join me to live in the world.
Bámgbé,Live with me.
Bámgbọ́lá,Help me bring wealth.
Bámgbọ́pá,Help me carry the staff (or the Ọ̀pá deity).
Bámgbóṣé,Help me carry the (Ṣàngó's) double-headed wand.
Bámgbóyè,Help me bring honour.
Bámgbóyèga,Help me exalt (my) chieftaincy title.
Bamicole,Viens m aider à construire ma maison. [voir Bámikọ́lé]
Bámidélé,Follow me home.
Bámidúró,Wait with me. Stay with me.
Bámigbádé,Help me carry the crown.
Bámigbáiyé,Enjoy life with me.
Bámigbáyé,Enjoy the world with me.
Bámigbégbìn,Assist me to carry the Igbìn. (the drum beaten in the worship of Òrìṣàálá/Ọbàtálá deity).
Bámigbọ́lá,Help me carry wealth
Bámigbọ́pá,Help me carry the staff (of the Ọ̀pá deity)
Bámigboyè,Help me receive honour.
Bámijókó,Stay with me.
Bámikalẹ́,Stay with me till my old age. 
Bámikẹ́,Help me cherish/care for.
Bámikọ́láwọlé,Help bring honor and wealth into home.
Bámikọ́lé,Help me build a house/home.
Bámilọ́shìn,Join me in owning the Ọṣìn deity.
Bámilóyè,Help me gain honour.
Bámimọ́rẹ́,Help me bring a whip.
Bámiró,Stay with me.
Bámiṣayé,Come enjoy the world with me.
Bámisayọ̀,Help me make joy.
Bámisé,Help me do it.
Bámiṣẹbí,Help/join me make family.
Bámishé,"Another way of writing ""Bámiṣẹ́""."
Bámishígbìn,Help me celebrate (with the Ìgbìn drums).
Bámishílé,Help me/join me open a house.
Bámisílé,Help me open a house.
Bámitálẹ́,Stay with me till the evening (of life).
Bámitẹ́fa,Help me spread the Ifá mat; join me in Ifá practice.
Bámitẹ́kọ̀,"Literal: Help me lay sealants on the floor of my boat/vehicle.
Figurative: Support me. Help me succeed."
Bámitọ́lá,"1. Help me taste wealth.
2. Help me match wealth."
Bámiyọ̀,Rejoice with me.
Bándélé,(The child to) follow me home.
Bángbádé,Help me carry the crown.
Bángbọ́fá,Help me listen to the Ifá.
Bángbọ́lá,Help me lift wealth.
Bángbọ́pá,Help me lift a staff (or the Òrìṣà Oko).
Bangoché,"This name used in cuban orisa tradition is derived from the Yorὺbá name Bámgbós̩é. Bámgbós̩é means ""carry the os̩é for me."" An os̩é is a double-edged axe of the thunder and rain deity S̩àngó."
Bánigbé,(One who) Live(s) with us.
Bánirẹ́,The friendly one.
Bánjí,Wake up with me.
Bánjọ,Agree with me.
Bánjókò,Sit with me (till old age).
Bánkalẹ́,Grow up with me.
Bánkẹ́,Help me care for (this one).
Bánkólé,Build me a house.
Bánmẹ́kẹ́,Help me hold the house pillars.
Bántálẹ́,Grow old with me.
Bántẹ́fá,Help me spread Ifá.
Bánúsọ,Dialogue (only) with yourself (rather than with others).
Bánwò,"Help me look after... Shortened form of Adébánwò, Ọlábánwò, Olúbánwò."
Báòkú,If we do not die...
Bárátúndé,"1. When the relatives returned.
2. When the bodies return.
3. When wonders return. (Baràtúndé)"
Bashọ̀run,The generalissimo
Baṣọ̀run,"The general, head of ọṣọ̀run. [verification needed]"
Báyégún,Help the world become well.
Báyetifẹ́,As the world wants.
Báyìlolútó,This shows how great God is.
Báyọ̀,With joy.
Báyọ̀dé,Arrived with joy.
Báyọ̀délé,Arrived home with joy.
Báyọ̀mi,Give birth to my joy.
Báyọńlé,Meets joy at home.
Béjidé,(One that) come(s) with the rain.
Bẹ́kọ̀,It isn't so.
Bétikú,As long as he/she doesn't die.
Bẹ́wàdé,Arrived with beauty.
Bẹ́wàjí,Wakes up with beauty.
Béyìòkú,If this one did not die.
Bíálà,Born into purity.
Bíbíire,Noble/worthy birth is priceless.
Bíbílarí,It's only his/her birth that we've seen.
Bíbílọlá,Honour is in-born.
Bíbírekòṣéfowórà,A good/worthy birth is priceless.
Bíbítáyò,Giving birth is joy.
Bídèmí,"Shortened form of ""Abídèmí""."
Bífárìn,One who walks with Ifá.
Bífátifẹ́,As ifa wants.
Bílésanmí,Make the home benefit me.
Biléwará,One adored by all kith and kin.
Bíléwú,[unknown]
Bílùbàjẹ́,If our world collapses.
Bím̀bọ́,"Shortened form of ""Abímbọ́lá"""
Bímbọ́lú,"I was given birth to with heroism, prominence."
Bímotifẹ́lolúwáṣe,God has given me my heart desire.
Bímpé,"Shortened form of:
Adébímpé
Ọlábímpé
Oyèbímpé
Àyánbímpé
Olúbímpé"
Bínáwọlé,When light enters...(darkness disappears).
Bíntílayé,Life is fragile.
Bínútirí,The way the mind is.
Bíòbákú,If s/he doesn’t die.
Bíọ́dún,Born during a festival.
Bíòkú,If he/she doesn't die...
Bíọ́lá,Born into wealth.
Biolúwátifẹ́,As the lord wishes.
Bísádé,Born into royalty.
Bísálà,Born into purity.
Bísáyọ̀,Born into joy.
Bísígà,A child who was birth in the palace.
Bísọ́dún,(A child) Given birth to during festivities.
Bísólá,Born into affluence.
Bísóyè,Born into chieftaincy.
Bísúgà,Born into royalty.
Bọ̀bádé,Return to meet the crown.
Bọ́badúró,At one with the king.
Bọ́bagúnwà,Reign with the king.
Bọ̀dé,"Return, arrive."
Bọ́dúndé,Comes with the year (or with festivities).
Bọ́dúnjóko,A child at one with festivities.
Bọ́dúnrìn,One who comes with the season.
Bọ́dúnwá,(One who) came with festivities.
Bọ́gunbọ́lù,One who feeds the war camp and the whole town.
Bógunrìn,One who walks with battle.
Bọ́jọ́dé,Came with the day. Arrived with a (good/momentous) day.
Bọ́lá,Meets wealth.
Bọ́láayọ̀,Meet the prestige of joy.
Bọ́ládalẹ́,Go with nobility until till the end.
Bọ́ládé,Comes with wealth.
Bọ́ládúró,"Stand with nobility, success, wealth."
Bọ́lágbé,Live with nobility.
Bọ́lájí,(One who) wakes up with wealth.
Bọ́lájókò́,Sitting down with wealth.
Bọ́lákalẹ̀,Grows old with wealth.
Bọ́lánílé,Meet wealth at home.
Bọláńlé,Meets wealth at home.
Bọlánta,(One who) meet(s) wealth outside.
Bọlárìnwá,Walks in with wealth.
Bọ́látitó,(Check out) how big/much our wealth/success is.
Bọ́láwá,I come with nobility.
Bọ́láwáyé,Emerge into the world with nobility.
Bólódeòkú,If the owner of the house isn't dead...(his house won't grow weeds).
Bólókundé,A child born at the period of Olókun Festival.
Bọ́lọ́mọpé,Joined the community of mothers.
Bọ́lọ́rundúro,Standing with God.
Bọ́lọ́runòsífúnwa,If God be not for us.
Bólú,Meets the head.
Bolúdé,Come with the prominent one.
Bólújí,"1. Wakes up with prominence. 
2. Wakes up with God."
Bólújọ,Be at one with the prominent one.
Bólújókó,Sit down with God.
Bólúmọlé,"1. Build a bouse with God. Build a house with the prominent one. Build a house with the master.
2. Go with God/Prominent one/master, to know the house."
Bólútifẹ́,As God wants.
Bólúwadé,One who came with the lord.
Bólúwadúró,Stand with the lord.
Bólúwají,Wakes up with the lord.
Bóluwajọba,Reign with God.
Bóluwarin,Walk with the lord.
Bólúwatifẹ́,As the lord wants. As God pleases.
Bóluwátishé,It is the lord's doing.
Bolúwatitó,(Look at) How great as God is.
Bọ́nọ̀jọ,At one with artistry.
Bọ́núadé,Enter into royalty.
Bóorépọ̀,Where there is plenty goodness.
Bórìṣàdé,Arrive with the Òrìṣà
Bórìshàdé,One who comes with the Orìṣà.
Bórítifẹ́lolúṣe,God has done exactly as one's head/destiny wishes him to do.
Bọ̀rọ̀kìnní,A famous and wealthy person.
Bọ́sẹ̀dé,Came with the (new) week.
Bósòro,"When the going gets tough.
[verification needed]"
Bọ̀sún,"See also: Túbọ̀sún, Ọlátúbọ̀sún"
Bótirí,As it is.
Bọ̀wálé,(The child) returns home.
Bọ̀wọ̀fọ́lá,Respect nobility.
Bọ̀wọ̀fólúwa,Honour God.
Bóyè,"1. Together with honour...
2. Meets honour."
Bóyèdé,Came to meet chieftancy/title.
Bóyèga,Become greater with honour/chieftaincy.
Bóyèjọ,In agreement with chieftaincy.
Bóyèwá,Came at the same time as a promotion (or a new appointment etc).
Bóyindé,Came with sweetness.
Bùkáyọ̀,(One who) adds to joy.
Búkì,"Shortened form of:

Olúwabùkọ́lá
Adébùkọ́lá
Oyèbùkọ́lá"
Bùkọ́lá,"Adds to wealth, success."
Bùkọ́nlá,Add to wealth.
Búkóyè,Adds to honour.
Bùkúnmi,Add to me.
Bùnkọ́nlá,Added to wealth/success. See: Bùkọ́lá
Bùnmi,Give me.
Bùóyè,Adds to honour.
Búsàrí,"Yorúbá's version of the Arabic name ""Al-Basri""."
Bùsáyọ̀,Add to joy.
Bùsáyọ̀mi,Added to my joy.
Bùsọ́lá,Add to wealth.
Bùsọ́lámi,...adds to my wealth/affluence/nobility
Bùsúyì,Add to value.
Dábírí,[unknown]
Dábọ̀ikú,Stop dying repeatedly.
Dàda,A child born with dreadlocks.
Dadémú,Hold onto royalty!
Dadépọ̀,Add crowns (which represents royalty) together
Dágundúró,Make(s) war stop.
Dágunró,Make war stop.
Dáhùnsí,Answer to it.
Dáìró,Hold this one down.
Dáìsí,(Death) spared this.
Dákẹ́jaiyé,Enjoy life quietly.
Dámidúró,Stop me. Delay me.
Dámiláre,Justify me.
Dámilóhùn,Answer me. (A supplication)
Damilọ́lá,(God) makes me wealthy.
Dámilọ́tun,(God has) created me anew
Dámimọ́lá,Created me with wealth.
Dáminí,"Hold (onto) me. 
(See: Olúwadáminí)"
Dámisí,[God] spared me.
Dámisọ́lá,Created me into wealth.
Dàmọ́lá,Add to wealth.
Dánlọ́lá,Bless me.
Dáódù,The firstborn son.
Dáramọ́lá,One who has achieved personal goodness along with wealth.
Dáraníjọ,"Good in company: 
[A shortened form of ""Adáraníjọ""]"
Dárasími,Good to me.
Dáre,Vindicate me. God has vindicated me (Olúdáre).
Dárópalé,Make dye to beautify the house.
Dáṣàólú,Make beauty for the prominent one.
Dásọfúnjó,Sew clothes for dancing.
Dásọ́lá,Participate in wealth.
Dáwódù,The firstborn.
Dáyìsí,(Death) Spared this.
Dayọ̀,Become joy.
Déàdúràmiládé,Crown my prayer (with success).
Débọ̀,A common short form of Adébọ̀wálé.
Dédẹkẹ́,The crown becomes the pillar that hold up the house.
Défúnkẹ́,The crown gave me to cherish.
Dégbìtẹ́,See: Adégbìtẹ́.
Dẹ̀hìndé,Returns at last.
Dẹ̀hìntọ́,Returned to become right.
Dèjì,Become two.
Dẹ̀jọ,Become eight.
Dékúnlé,Royalty fills the house.
Délànọ,The crown has opened the way.
Délọ́dún,"1. The crown has festivity.
2. One who arrived during the festivity"
Démiládé,Crown me. Put a crown on my head.
Démilọ́lá,Crown me with wealth.
Dẹ̀múrẹ̀n,[unknown]
Démúrìn,The crown holds this (one) along.
Dénlóyè,"1. Cover me with honour.
2. My crown has honour."
Dénọ́lá,Royalty has success/nobility.
Déńrelé,The crown is heading home.
Dérinsọ́lá,The crown walks into wealth.
Dérìntọ́,The crown walks right.
Désálù,The crown ran far away.
Déṣíkù,The crown opens a door (of wealth to me).
Désínúọlá,Arrived into nobility/wealth.
Désíre,Appeared in goodness.
Désọ́lá,"1. Arrive into wealth.
2. A short form of Adésọ́lá"
Désóyè,Arrive into honour.
Détayọ̀,"1. Arrive to sit with joy. 
2. Royalty is worth celebrating (Adétáyọ̀)"
Détọ́lá,The crown is worth wealth.
Déwálé,A different way of writing Adéwálé.
Déwọlé,Short for Adéwọlé.
Déwùmí,Royalty attracts me.
Déwùnmí,Royalty attracts me.
Déwúrà,Wear gold as a crown.
Déyanjú,Short for Adéyanjú: the crown is complete.
Déyímiká,Royalty surrounds me.
Déyínká,Royalty surrounds me.
Dídéolá,"The arrival of wealth, nobility, and other good things."
Dídéolú,The arrival of a star. The arrival of a prominent one.
Dídùnnínúolúwa,Sweetness in the lord.
Dídùnolúwa,The sweetness of God.
Díẹ̀kárá,Family isn't inconsequential.
Díẹ̀kọ́lá,Wealth isn't inconsequential.
Díẹ̀kọ́ladé,Royalty isn't inconsequential. The crown isn’t to be taken lightly.
Díẹ̀kọ́láolúwa,The goodies/grace/wealth from God is limitless. 
Diẹ̀kọ́lọláolúwanínúayémi,The fortune of God in my life is not minute.
Díẹ̀kọ́lọpẹ́,My thanks/praise is limitless.
Diẹkóyè,Chieftaincy isn't inconsequential.
Dípẹ̀,To make supplication.
Dípẹ̀ólú,Make supplications to the lord.
Dìran,Becomes generational.
Dísù,"Yorùbá way of writing ""Idris""."
Diwúrà,Become gold.
Dòdóndáwà,The warrior stands alone.
Dòkun,Become enormous.
Dọlá,"1. Become wealth/success.
2. A short form of Adédọlá, Olúdọlá, Oyèdọlá, etc."
Dọlápọ̀,Add wealth/nobility/success together.
Dolúpọ̀,Brings prominence/leadership/stardom together.
Dolúwamú,Hold on to God.
Dọ̀pámú,One who holds onto the staff of Òrìṣà oko.
Dọ̀pẹ̀mú,One who holds the ọ̀pẹ̀ (divination chain).
Dossoumon,"This is a French-African version of the Yorùbá name ""Dòsùnmú""."
Doṣù,Come of age.
Dòsùmú,Hold onto the sacred Òsùn staff.
Dòsùnmú,Hold onto the sacred Òsùn staff.
Dọ̀tun,Become renewed.
Dọ́wọ̀lémi,Bestow respect on me
Doyin,Pour honey.
Dòyìnbó,Becomes the white man.
Doyinsọlá,Pour honey/sweetness into wealth.
Dúdú,black/dark
Dúdúlabí,We gave birth to the dark-skinned one.
Dúdúyẹmí,The dark skin is befitting of me.
Dùnmínínu,Make(s) me happy.
Dùnmọ́mi,Sweet with me.
Dùnní,Sweet to have.
Dùńsìn,Sweet to worship (God is sweet to worship).
Dúródọlá,Wait for wealth.
Dúródolú,Wait for God.
Dúródolúwa,Wait for the lord.
Dúrógbọlá,Wait to receive nobility.
Dúrógboyè,"Wait for chieftaincy, honour."
Dúrójaiyé,Wait/Stay and enjoy life.
Dúrójaiyéọba,Wait to enjoy the life of a king.
Dúrójayé,Wait and enjoy life.
Dúróoríkẹ́,Stay alive so that we may shower you with care.
Dúróṣarọ́,Stay and to thrive as a blacksmith.
Dúróṣawo,Wait to participate in the Ifá priesthood.
Dúróshọlá,Wait and make wealth.
Dúrósinmí,Stay to bury me.
Dúróṣọlá,Wait and make notability.
Dúróṣọmọ,Stay long enough to become somebody.
Dúrótifá,Stay with Ifá
Dúrótìmí,Wait with me.
Dúrótoyè,Wait with royalty.
Dúrówadé,Wait to see the crown.
Dúrówaiyé,Stay and see the world.
Dúrówayé,Stay and observe the world.
Dúrówojú,Wait long enough to behold faces.
Ẹbídiwúrà,Family turns into gold.
Ebígbọlá,Hunger brought an outcry.
ẹbíṣùkẹ́,One that the whole clan has come together to care for.
Ẹbíṣùrùkẹ́,One that the whole clan has come together to care for.
Ẹbọadé,The sacrifice for royalty.
Ẹbọ́dà,The sacrifice is effectual.
Ẹbọfín,The sacrifice is successful.
Èbúdọlá,Insults have turned to wealth.
Ẹ̀bùn,Gift.
Ẹ̀bùnìleriòluwá,The gift of God's covenant.
Ẹ̀bùnlọmọ,A child is a gift.
Ẹ̀bùnolúwa,The lord's gift.
Echu yinka,"Practitioners of Cuban Orisa religion say this name means “the Elegguá (E̩lé̩gbáa) that watches the path.”

It is derived from Ès̩úyín̄ká - Ès̩ù (the messenger deity) surrounds me."
Echualabi,"Among Cuban users, the belief is that it means ""the Echu (a deity) that divides births.""

In Yorùbá language, Ès̩ùlabí means ""it is Ès̩ù that we gave birth to. """
Echudina,"In Cuban usage, the belief is that it means ""Echu of the flame/fire.""

In Yorùbá language, ""Ès̩údínà"" means ""Èṣú blocks the road (from enemies)."""
Echuyinka,"Among practitioners of the Lucumí faith (formerly known as Santería), the belief is that Eshu Yinka means ""the one (Eshu) that watches the road.""

This name is derived from the yorùbá ""Ès̩ùúyínká"" meaning, literally, ""Ès̩ù (the yorùbá messenger deity) surrounds me."" This can mean that the person was born into a family with many other devotees of the Yorùbá deity known as Èsù.  It can also be a kind of prayer that Èsù surround and protect the individual."
Èdìdíayọ̀,The seal of joy.
Èdìdììmísí,The seal of inspiration.
Ẹdun,Monkey/Chimpanzee.
Ẹdúnjọbí,The Ẹdun family gave birth (to this) together.
Èébúdọlá,Insults have become wealth.
Eégúnbiyì,The masquerade gave birth to value.
Eégúnbíyìí,The masquerade gave birth to this (one).
Eégúndèyí,The masquerade becomes this.
Eégúnjọbí,Masquerades jointly gave birth to (this).
Eégunjọbíẹ,The masquerade jointly gave birth to this.
Eégúnlúsì,The masquerade has renown.
Eégúnyẹmí,(Being with) masquerading has been beneficial to me.
Èésúọlá,The bundle of wealth
Ẹfúnbọ́lá,Ẹfún meets with wealth.
Ẹfúnbọ́ládé,The child of an O̩bàtálá adherent came with wealth.
Ẹfúnbóyè,"1. Royalty is adorned with purity. 
2. Royalty is pure. 
3. Purity births royalty"
Ẹfúnbùnmi,O̩bàtálá gave her to me.
Efunche,"This is a name used among practitioners of cuban Òrìs̩à tradition, commonly know as Santería or Lucumí faith. The name is derived from the Yoruba name E̩fúns̩etán - E̩fun (white native chalk) is ready. Names beginning with e̩fun are often in reference to deities such as Olokun and Obatala or a number of other “white-cloth” deities of Yoruba Traditional Religion."
Ẹfúníyì,Purity is valuable.
Ẹfúnkọ̀yà,Purity fought suffering (for me).
Ẹfunlabí,We have given birth to purity.
Ẹfúnlọ́lá,Purity has nobility.
Ẹfunmirè,This is my purity (chalk).
Ẹfúnníyì,Purity is valuable.
Ẹfúnpọ̀róyè,Ọbàtálá/purity is the source of honour.
Ẹfúnrántí,Purity remembers.
Ẹfùnṣẹ́gùn,The Ẹfun conquered.
Ẹfúnsetán,Ẹfun has perfected/completed things.
Ẹfúntàjò,The Ẹfun child returned from a trip.
Ẹfúntàjòdé,The child of Ẹfun returned from a trip.
Ẹfúntóyè,Purity is worth honour.
Ẹfúntúndé,Purity has returned.
Ẹfúnwọlé,Purity enters the home.
Ẹfúnwùnmí,I desire purity.
Ẹfúnyẹmí,I'm befitting of Ẹfun (the Ọbàtálá/Ọ̀ṣun sign of purity; chalk).
Ẹfúnyínká,Purity surrounds me
Ẹgbẹ́bámiwòó,The group/community takes care of this child.
Ẹgbẹ́délé,Partnership extends to the home. A team makes a home.
Ẹ̀gbẹ̀jí,One with supernatural powers.
Ẹgbẹ́laní,Teamwork is what we have.
Ẹgbẹ́lékè,Being part of a team/family is glorifying.
Ẹgbẹ́nẹ́yẹ,Teamwork has honour.
Ẹgbẹ́pọ́nmilé,I'm respected among my peers.
Ẹgbẹ́róungbé,The society/company/peers have found something to cherish.
Ẹgbẹ́ṣakin,Company makes valor.
Ègbèṣínà,Ègbè will open the way. Ègbè opened the way.
Ẹgbẹ́táyọ̀,Company is enough for joy.
Ẹgbẹ́tókun,Company is like the ocean.
Ẹgbẹ́tóókẹ́,The Ẹgbẹ́ masquerade is worthy of care.
Ẹgbẹ́wọlé,The cult has gone into the temple. The group has become home. Collaboration has now been adopted in the home.
Ẹgbẹ́yẹmí,Company befits me.
Ẹgbukúyọ̀mí,He/she didn't let me be shamed by death. (Kò gbé ikú yọ̀ mí)
Egúndínà,Masquerade blocked the path.
Egúnjẹ́nmí,The masquerade lets me rest.
Egúnjọbí,The masquerades gave birth to this.
Égúnlúsì,The masquerade has renown.
Egúntọ́lá,The masquerade is worth wealth.
Égúnyẹ́mí,Being a masquerader befits me.
Egúnyìnmí,The Eégún masquerade praised me.
Ẹ̀híndẹ̀rọ̀,The back (or the future) is relieved.
Ẹjalónibú,The fish belongs in the deep.
Ejiadé,The rain deity of royalty.
Ejíbádé,Rain met royalty.
Ejíbọ́dún,The rain (divinity) met a festival in progress.
Ejídé,The rains are here.
Ejígbádéró,The (spirit of) rain upheld the crown.
ejilọlá,Rain is blessing.
Ejitọ́lá,Rain is enough for wealth (source of wealth).
Ejíwálé,Rain returned.
Èjíwùmí,"1. I love tooth gaps
2. I love twins."
Èjíwùnmí,I am attracted to gap teeth.
Ejiyọóyè,The divinity of rain emerged in (our) honour.
Èkémọdé,A dishonest child.
Ẹkúndayọ̀,Weeping has become joy.
Ẹkúndínà,Tears blocked the way.
Ẹkùnníyì,The Ẹkùn lineage has honour.
Ẹkúnsanmí,The Ẹkùn deity benefits me.
Elébènlá,One who makes big heaps for farming.
Elebijo,[unknown]
Ẹlẹ́bíjù,One with kin/family/relation is superior.
Ẹlẹ́búìbọn,The owner of many guns.
Ẹlẹ́bùrúìkẹ́,One with a suddenness of care.
Elébùté,The owner of the shores.
Ẹlẹ́gbẹ́,A team-player.
Elégbèdé,The supporter has come.
Ẹlẹ́gbẹ́lẹ́yẹ,Having the support of another is honourable. A person gains honour when he/she is accepted as kin(or peer).
Elégúndé,The masquerader/Eégún priest arrives.
Ẹlẹ́gùshí,Melon owners/growers.
Eléjìgbò,The owner of/head of Èjigbò.
Ẹlẹlú,Owner/dealer of slaves
Elélùbọ́,The owner of èlùbọ́
Ẹlẹ́mìdé,The spirit-filled one arrives.
Elémùré,
Elétù,[Meaning unknown]
Ẹlẹ́wàdé,The beautiful one has come.
Ẹlẹ́wìodò,The chief guardian of the river wealth
Eléwúrẹ́,Owner of goats.
Ẹlẹ́yẹlé,The owner of doves.
Èléyìnmí,The Èlé divinity praises me.
Elúdiní,God comforted me. God strengthened me. God took care of me.
Elúdire,The lord becomes goodness.
Elúfidípẹ̀,The slave used it for recompense.
Elúfidíyà,Elú used (this child or this occasion of the child's birth) for recompense.
Elúfisan,The slave paid back (with this).
Elúfowójù,"The slave, because of riches, is great(er)."
Elúfowórà,The one Elú bought with money.
Elúgbajú,The slave has become famous.
Elújọba,The slave becomes king
Elújọbí,
Elúsanmí,The Elú deity benefits me.
Elúṣọgbọn,The Elú deity makes wisdom.
Elúsọjí,The slave arose.
Elúwándé,The Elú sought me here.
Elúwọlé,Ifẹ̀ dialect variant of Olúwọlé.
Elúyẹlà,The slave is deserving of success.
Elúyẹmí,The Elú deity adorned me.
Elúyẹra,"The Elú person has left, departed."
Ẹ̀míayọ̀,The spirit of joy. A life of joy.
Ẹ̀mídé,Soul/Life has arrived
Ẹ̀mílójù,Life is paramount.
Ẹ̀mími,"My life, my heart."
Ẹ̀míọlá,The breath/life of wealth.
Ẹ̀míolúwa,God's spirit/breath.
Ẹmósù,One who picks up the camwood.
Ẹni,Person. Someone. Individual
Eniadé,Person of royalty.
Ẹniafẹ́,"1. The one we want. The one we love. 
2. The fanciful one."
Ẹniafẹ́lamọ̀,We only know whom we love.
Ẹniaiyémọ̀,A well-known fellow.
Ẹniańkẹ́,"The one we're caring for, cherishing, doting on."
Ẹniatimọ̀,The one we already know.
Ẹniayémọ̀,One known in the world.
Ẹniayéwù,One who desires to live.
Ẹniayọ̀,A person of joy.
Ẹníbàlómọ̀,Only the one that has been hit knows (how it hurts).
Ẹnigbọ̀kan,One who receives one. [verification needed]
Ẹniìbùkún,The blessed one.
Ẹniìbùkúnolúwa,"""The blessed one of the Lord. Taken out from Psalms 115:15"""
Ẹniìfẹ́,A person of love.
Ẹniìfẹ́olúwa,A person of God's love.
Eniìgbàlàolúwa,A person who brings God's Salvation.
Ẹniìtàn,"1. A historical personage, one born in ways and manners to be remembered.
2. a person with history.

(Translation courtesy of Prof. Kole Ọmọ́tọ́ṣọ́)"
Ẹníkúèmẹ̀yìn,The one who is dead doesn't know tomorrow.
Ẹníkúòmẹ̀hìn,One who is dead doesn't know what's going on behind (them).
Ẹníkúòmẹ̀yìn,One who is dead doesn't know what's going on behind (them).
Ẹnílolóbọ̀,The one who went is the one who returned.
Ẹniọbáńkẹ́,One favoured by the king.
Ẹniọlá,A person of wealth/success.
Ẹniọlárówólò,A wealthy person sees money to spend.
Ẹniọlọ́rundá,A person created by God.
Ẹniọlọ́runfẹ́,The one loved by God.
Ẹniolúfé̩,The one the Lord loves.
Ẹniolúwabùkún,One blessed by the lord
Ẹniolúwafẹ́,One loved by God.
Ẹniolúwatófún,One to whom the lord is sufficient.
Ẹniọmọ́sin,"This name comes from a proverb that says ""it's the person who is buried by their children that can be considered a parent"". Ẹniọmọ́sin simply means ""the one lucky to have been buried by his/her child""."
Ẹniòrìságbè,The person the deities support.
Ẹniowó,Person of material wealth (money).
Ẹnioyè,Person of honour.
Ẹnítán,There's no one left.
Ẹníwáyé,The one that has come into the world.
Ẹnúdùnjuyọ̀,The mouth is sweeter than salt.
Ẹnuìyìn,A mouth of praises.
Èpédọlá,A curse placed (on us) turned beneficial instead.
Èrèọlá,The gains of success/wealth. The benefit of prominence.
Ẹ̀rí,Shortened form of Ẹ̀ríolúwa
Ẹ̀ríayọ̀,Witness to joy. The proof of happiness.
Ẹríayọ̀olúwabùkúnmi,God's testimony of joy blessed me.
Ẹ̀rígbàgbọ́,Evidence of faith in God.
Ẹ̀ríìfẹ́,The testimony/proof of love.
Ẹ̀ríìfẹ́olúwa,The evidence of God's love.
Ẹríìfẹolúwasími,Evidence of God's love towards me.
Ẹ̀ríire,Evidence of goodness.
Ẹ̀ríìyanuolúwa,Testimony of God's miracles or wonders.
Ẹ̀rínayọ̀mi,The laughter of my joy.
Erínfọlámí,The elephant breathes with wealth/nobility/success.
Erínjógunólà,The elephant lets the war survive.
Erinlẹ̀,A child born with placenta tied to his/her waist.
Ẹ̀rínọlá,"The joy of success/nobility, etc."
Ẹ̀rínọ̀shọ́,A burst of graceful laughter. The laughter of adornment.
Ẹ̀rínoṣó,The laughter of the sorcerer.
Erínwọlé,The elephant enters.
Ẹ̀ríolúwa,"1. God's witness. 
2. Evidence of God's existence/goodness."
Ẹ̀ríolúwatósìn,God's testimony is worthy to be praised
Ẹríṣàn,The river flows (as it should).
Ẹ̀ríyanuolúwa,Testimony of God's miracles or wonders.
Eríyọmí,A dialectal variant of Oríyọmí: My personal god (orí) saved me.
Èrògbogbo,"1. All crowds.
2. All thoughts."
